pid	Verbal Report	cat_score_high	cat_score_low	cat_score_med	cat_cost_high	cat_cost_low	cat_cost_med
75	I clicked on the immediate options to see how much they were taking away or adding to my total. I tried follow paths that took the least amount of deductions and the most amount of additions.	0	0	1	0	1	0
76	I didn't have any plan, I just chose randomly.	0	0	1	0	0	1
77	Just tried to go each direction	1	0	0	0	0	1
78	I went randomly	0	1	0	0	1	0
79	I looked at how I could make the most money.	0	1	0	0	0	1
80	Randomly	0	1	0	0	1	0
81	I started by picking circles on the outside, but then realized it is better to pick circles closer to the middle to minimize the amount I had to pick.	1	0	0	0	1	0
82	I would avoid a route if I uncovered a minus.	0	1	0	0	1	0
83	I chose fairly randomly 	0	1	0	1	0	0
84	max amount of money	1	0	0	0	1	0
85	just guessing	0	0	1	1	0	0
86	The first round I paid to look at one of the spaces. It seemed like it cost too much so I started randomly panning my trips.	0	0	1	1	0	0
87		0	0	1	1	0	0
88	Instinct	0	1	0	0	0	1
89	I checked enough circled to find a high enough paying route, then went with it.	1	0	0	0	1	0
90	Random until I got a positive result	1	0	0	1	0	0
91	Tried ti minimize my losses basically	1	0	0	0	0	1
92	I used the uncover option to plot the safest route.	1	0	0	0	0	1
95	guessed	0	1	0	1	0	0
97	I clicked on all the circles and added up which would be the best route	1	0	0	0	1	0
98	Just went with whatever.	0	1	0	0	0	1
99	randomly	0	0	1	1	0	0
100	Choose a final destination and work backwards	1	0	0	0	0	1
101	i just kept taking random routes	0	1	0	0	1	0
102	I kind of just went with gut instinct.	0	1	0	0	0	1
